,0,1,2,3,4,5,6,7
62,21:40,5/4/11,Wirtz,VA,Circle,1min.,The objects were circular with no blinking lights but they had a white light and stayed the same speed with each other then vanished,5/12/11
63,21:30,5/4/11,Bountiful,UT,Circle,25 minutes,The Lights Over the Great Salt Lake and West Desert,5/12/11
64,21:00,5/4/11,Oak Island,NC,Light,2-3 min.,No sound just a white light,5/12/11
65,17:30,5/4/11,Naperville,IL,Changing,10 minutes,"Clear sky, Highly reflective Round Object leaking fluid or vapor.",5/12/11
66,09:00,5/4/11,Albuquerque,NM,Other,8 months,((HOAX??)) Get the metal out of my body,5/12/11
67,01:33,5/4/11,Colorado Springs,CO,Other,20 seconds,bullet shaped craft over the skies of colorado,5/12/11
68,5/4/11,Hershey,PA,,1 week,Alien Abduction Scar/Marks???,5/12/11,
69,23:30,5/3/11,Amery,WI,Light,hours,Lights thought to be satellites making impossible movements,5/12/11
70,23:00,5/3/11,Armagh (Ireland),,Sphere,5 Seconds,"2 balls of light moving at extremely high speed very close over head, silently.",5/12/11
71,22:30,5/3/11,St. George,UT,Fireball,4-6 minutes,"Triangle of bright orange lights flying directly over St. George, Utah.",5/12/11
72,21:30,5/3/11,Davenport,IA,Egg,10min,"Bright Light over Davenport, Iowa.",5/12/11
73,21:30,5/3/11,San Jose,CA,Light,1 min,Bright light traveled at a great rate in the upper atmosphere above Santa Cruz mountains CA,5/12/11
74,21:20,5/3/11,Venice,CA,Triangle,15 seconds,"Silent Triangle craft sighted Venice, CA May 3rd 2011 21:20",5/12/11
75,21:16,5/3/11,Woodland Hills,CA,Unknown,1 minute,Possible UFO seen in CA,5/12/11
76,21:10,5/3/11,Upland,CA,Rectangle,Around twenty seconds,"It first appeared like shooting star, but then turned in to a triangle with dim lights it lasted for twenty seconds then vanished.",5/12/11
77,21:00,5/3/11,Redwood City,CA,Sphere,3-5 mins,"Redwood City Sphere, third sighting",5/12/11
78,21:00,5/3/11,Caret,VA,Light,30 seconds,it was a bright light and it zig zagged then it dissappeared,5/12/11
79,12:30,5/3/11,Houston,TX,Unknown,3secs,"white shining light over Houston,TX",5/12/11
